#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
19.29987,17.36374,16.47336,16.06532,15.76397,1.936129,0.8903828,0.4080448,0.3013449,GALAXY,,0.0724733,52381,1,1,0,0,168.575781449157,2.528006688446
18.47842,16.67862,15.79378,15.35793,15.03752,1.799799,0.8848391,0.4358549,0.3204107,GALAXY,,0.07389084,52381,1,1,0,0,168.478241507423,2.56621693072402
19.68855,17.86532,16.94872,16.53397,16.21022,1.823225,0.9165993,0.4147511,0.3237514,GALAXY,,0.07475983,52381,1,1,0,0,168.481844293453,2.47650595353513
19.79628,17.85784,16.97951,16.57579,16.25751,1.938438,0.8783321,0.4037209,0.3182716,GALAXY,,0.07547475,52381,1,1,0,0,168.496890060101,2.47037215012506
19.77382,17.91959,17.08907,16.69202,16.38831,1.854223,0.8305264,0.397049,0.303709,GALAXY,,0.07175563,52381,1,1,0,0,168.503503132751,2.52868982522386
22.48528,20.20229,18.6184,18.03209,17.50924,2.28299,1.583887,0.5863113,0.5228539,GALAXY,,0.3025078,55656,1,1,0,0,170.105055888001,2.52582739566193
23.5162,21.32264,19.73719,18.86233,18.4601,2.193558,1.585453,0.8748627,0.4022236,GALAXY,,0.470324,55656,1,1,0,0,170.388296989542,2.5976842968449
19.43349,18.32344,17.55702,17.12549,16.79438,1.110052,0.7664204,0.4315243,0.33111,GALAXY,,0.14149,52374,1,1,0,0,167.977361643134,3.00682522162718
20.76161,18.80914,17.51002,16.99958,16.65555,1.952469,1.29912,0.5104332,0.3440304,GALAXY,,0.2224323,52374,1,1,0,0,167.994832544366,2.84974160543414
21.16911,18.96197,17.43564,16.96808,16.62596,2.207142,1.526327,0.4675598,0.3421268,GALAXY,,0.2592267,52381,1,1,0,0,168.753352173508,2.9856345685491
18.00674,16.15512,15.3297,14.95921,14.65695,1.851616,0.8254242,0.3704882,0.3022575,GALAXY,,0.05178661,55656,1,1,0,0,170.054527288695,3.04107700582126
25.76338,21.25989,19.57178,18.83249,18.39319,4.503487,1.688112,0.7392902,0.4393005,GALAXY,,0.4455738,55656,1,1,0,0,170.121665186517,2.99019532260137
25.91764,21.22407,19.51051,18.77884,18.18628,4.693571,1.713556,0.7316742,0.5925617,GALAXY,,0.4422264,55656,1,1,0,0,170.14621422355,2.88532007306563
23.19393,21.16287,19.39772,18.70774,18.35733,2.031061,1.765148,0.6899872,0.3504066,GALAXY,,0.4451337,55656,1,1,0,0,170.228547816413,2.92218641086263
23.03399,19.98738,18.66614,18.09228,17.59147,3.04661,1.321249,0.5738544,0.5008087,GALAXY,,0.2228578,52374,1,1,0,0,167.82300125977,3.23943683347494
18.65288,16.9234,16.10246,15.67996,15.38809,1.729481,0.8209324,0.4224997,0.2918768,GALAXY,,0.07506742,55656,1,1,0,0,170.268049118108,3.45886606025859
20.25393,18.36,17.43642,17.04059,16.72095,1.893932,0.923584,0.3958244,0.3196468,GALAXY,,0.09331524,51941,1,1,0,0,154.982748086672,-0.685385158132738
19.48022,17.57885,16.6196,16.22184,15.92048,1.901361,0.9592514,0.3977585,0.3013601,GALAXY,,0.09463602,51941,1,1,0,0,155.033679869998,-0.685092607882087
23.41713,21.18395,19.30176,18.57557,18.23221,2.233173,1.882198,0.7261887,0.3433609,GALAXY,,0.3974457,51941,1,1,0,0,155.194861558906,-0.26472642288773
19.75023,17.90468,17.03719,16.65137,16.37079,1.845551,0.8674889,0.3858223,0.2805805,GALAXY,,0.07856335,51941,1,1,0,0,155.533983254951,-0.303944465742886
20.34459,18.5974,17.65247,17.307,16.92031,1.747198,0.944931,0.3454609,0.3866959,GALAXY,,0.1358848,52045,1,1,0,0,210.702182246275,4.64729764538012
19.63582,17.84727,17.07891,16.7456,16.48402,1.788553,0.7683525,0.3333092,0.2615795,GALAXY,,0.05438102,52049,1,1,0,0,215.830665225768,4.37453648335456
